node0 p01,node1 p01,node2 p01,node3 p01,node4 p01
60.301031507671894,22.521343140210302,10.18020565993615,36.85518210600078,90.18322958986805
79.97146943048078,3.0548830286960595,3.5012629317339212,19.75398709755042,5.449196122467029
40.68737116187785,23.948813052102416,0.054643519216557995,47.84584739913003,0.7335561413935149
21.857900280916244,0.5195751331779156,65.32305938658422,63.84424285013601,149.49406079326707
49.294100568217104,232.9959189670493,16.31209630255977,4.898116072711806,13.23823834550102
66.93715884449244,11.488676068818345,32.800056083129554,4.6757965989959484e-05,8.15250561648572
19.393668010222573,10.959114672761233,32.6872880985686,0.7420752472116429,1.9558181407885042
142.67578803807965,123.91055800269669,43.239003154649325,30.426950949271603,41.78429876443616
34.742471017144176,25.287534289590866,95.42652385116136,34.1304751312992,55.265208376518196
34.61400958557558,9.912937950379241,0.013918719325301643,47.874419178390085,31.0523986119256
196.96333806621377,85.546786324553,7.665981106044805,15.744741941276983,8.988334955608599
47.3661050349764,0.8738150844202476,0.11943816234726856,61.97525671596588,25.043927458771694
70.25615377638087,0.1769409363034311,2.01611423661377,8.840785893979277,9.476255526933432
50.829946831403895,162.57474733653763,15.30440362115049,0.009747400081245906,6.3185644325572685
132.3893185147642,15.294745782377985,3.6051411243477607,0.04809629845604662,93.4383293171492
51.03847459935758,9.598676526297202,12.764881676942952,20.55894279739172,3.544238718856193
25.62624420845185,100.35322594049356,0.0716127887971251,1.2631523604787902,0.9346809588085174
6.422905362237595,35.6177514134595,0.05416908944345707,22.00868674781731,69.60463857254351
41.947597249255715,226.8115730201077,19.99341432182652,12.395215933981781,2.2170277690942104
21.029314361367074,6.647868472804886,6.850045198621555,34.23274841212549,8.437828966378053
25.72907951139478,7.8596945459504015,42.47114858414234,0.7123042444447713,1.4776888521794915
54.173932447518,3.028079010803139,0.42062956351308456,21.951456112901393,35.828495210916884
29.514512527379562,1.0898159119943291,83.79160133890888,22.79086930458777,5.900432819878001
40.986509007405346,16.177977143382137,0.009464989373206611,0.8175320737211329,95.35358798216541
31.640352964383666,42.35773088665852,26.720692188785225,28.19314000541538,4.962557393093841
66.14573855706779,126.44249617150614,17.27132836799225,1.0072175805563404,8.573954309240838
124.57317554063997,2.711344265667862,68.04480327900748,3.073338412405441,2.64189859814579
22.33583440863606,59.1485794272268,4.01204586222345,30.939502019070527,1.123297318832709
122.07861087472686,10.73691688916315,1.89288638005573,3.054946838230857,2.928695511623949
25.29485976846426,5.187020661375815,0.3145206954823215,16.931445858852115,8.561811706147843
